ITEM DESCRIPTION,LABELS
CHEDDAR MILD - SHREDS 1KG,"cheddar, shredded |  cheddar |  ""cheddar cheese, from cows milk"", wooshi dry good wasabi chiyoda 1kg"
"MISSION FLOUR TORTILLA 10"", 12 CT (877)","tortilla bread, wheat |  tortilla, wheat |  wheat tortilla wrap, to be filled |  rye flour, type 85 |  rye flour, consumer package"
TYRRELLS (40G) - CIDER VINEGAR & SEA SALT POTATO CHIPS,"apple cider vinegar |  salty snacks, made from potato |  potato crisps, potato chips |  vinegar, cider |  potato chips"
TYRRELLS (40G) - LIGHTLY SEA SALTED POTATO CHIPS,"potato chips |  salty snacks, made from potato |  potato crisps, potato chips |  potato crisps |  potato crisps"
TYRRELLS (40G) - SWEET CHILLI & RED PEPPER POTATO CHIPS,"potato chips |  potato crisps, potato chips |  potato crisps |  potato crisps |  potato crisps"
[COOKED ITEM] CK Bacon Bits,"bacon, cooked |  bacon, frying, raw |  vegan bacon |  pork, american bacon (dry cured) |  pork, british bacon (dry cured)"
[TA Spoon] 170MM CORNSTARCH SPOON DLS04 2000PCS(50X40S),"Spoon, cornstarch, biodegradable |  Fork, cornstarch, biodegradable"
Seedless Grapes RED,"grapes, seedless |  grape, red, raw |  grape, raw |  grape, raw |  grape, white, raw"
Chestnut (Ready To Eat),"chestnut, canned |  chestnut |  chestnut |  chestnut |  chestnut"
FIGARO SLICED BLACK OLIVE,"black olives, sliced |  albacore, in olive oil, canned, drained |  olive |  olive |  olive"
NAARMANN UHT MILK - 3.5% FAT WITH CAP,milk 3% fat |  milk 3% fat |  milk 3% fat |  milk 3% fat |  milk 3% fat
SALT SACHET,"table salt |  table salt |  salt, table |  table salt, fine |  Table salt, fine"
SAPORITO CHICK PEAS,"chick pea, dried |  chick pea, cooked |  chick pea flour |  chick peas, in can |  chick peas, cooked"
SAPORITO JALAPENO PEPPER SLICED,"jalapeno peppers, pickled |  chorizo, sliced |  sweet pepper, red, canned, drained |  roastbeef, sliced |  white pepper, powder"
WHITE PEPPER SACHET,"white pepper, powder |  pepper |  bell pepper |  pepper (g) |  pepper (g)"
YOWE CANNED MANDARIN ORANGES,"mandarin oranges, canned |  orange juice, canned |  orange, raw |  orange |  orange"
Yowe Coconut MIlk - 5%,coconut milk |  coconut milk |  soy milk |  rice milk |  coconut milk or coconut cream
[ SOUP ] Creamy Mushroom Medley,"mushroom soup |  soup, mushrooms, prepacked, to be reheated |  mushroom sauce, prepacked |  tomato soup |  mushroom, canned"
[Cooked Item ] Bacon Bits ( GJH),"bacon, cooked |  bacon, frying, raw |  vegan bacon |  pork, american bacon (dry cured) |  pork, british bacon (dry cured)"
[SMOOTHIE] Berry Grape Ful,"smoothie, strawberry blueberry |  grape, raw |  grape, raw |  grape, red, raw |  grape, white, raw"
[SMOOTHIE] Just Picked Cocowater (12 x 330ml),"just picked cocowater natural |  smoothie |  smoothie, strawberry blueberry"
[ SOUP ] Country Style Pumpkin Soup,"pumpkin soup |  soup, pumpkin, prepacked, to be reheated |  soup, pumpkin, dehydrated and reconstituted |  mushroom soup |  burgundy-style beef stew"
[ SOUP ] Creamy Tomato Soup,"tomato soup |  soup, tomato, ready to eat |  soup, tomatoes, prepacked, to be reheated |  mushroom soup |  soup, tomatoes, dehydrated and reconstituted"
[DRY GOOD] Sun Dried Raisin,"raisins, sun-dried raisins |  raisin |  raisin |  raisin puff pastry (viennese pastries) |  rosemary, dried"
[DRESSING] Cashew mint,"mint, fresh |  mint |  cashew |  cashew |  cashew"
Frozen Smoked Salmon Fillet,"smoked salmon |  salmon tart |  salmon, smoked |  salmon, baked |  salmon, steamed"
Natural Sunflower Seeds,sunflower seed |  sunflower seed |  sunflower seed |  sunflower seed |  sunflower seed
Organic White Quinoa (bolivia),"white quinoa, organic |  neleman verdejo organic |  quinoa |  quinoa |  quinoa"
Pumpkin Seed,"pumpkin seeds |  pumpkin seeds, dried |  pumpkin |  pumpkin |  pumpkin, cooked"
Sliced Almond (Blanched),"almonds, sliced, blanched |  almond, (with peel) |  sugar-coated almond |  almond paste |  almond covered with chocolate"
Walnuts LHP 80%,walnut |  walnut |  walnut |  walnut |  walnut
"SIGNATURE TORTILLA SPINACH 12""","tortilla, wheat |  spinach |  spinach |  spinach |  spinach"
"SIGNATURE TORTILLA WHOLE WHEAT 12""","tortilla, wheat |  tortilla bread, wheat |  wheat flour, consumer package |  wheat flour, consumer package |  wheat tortilla wrap, to be filled"
[ CHILL ] Farmer Union Greek Yogurt,"greek yogurt |  yogurt, greek-style, plain |  ""yogurt, greek-style, ewes milk"", yogurt |  soy yogurt"
[ DRY GOOD] Skippy Peanut Butter Creamy CHINA 1KG,"peanut butter, smooth |  peanut butter |  peanut butter |  peanut paste |  sugar and chocolate coated peanut"
APPLE GREEN,"green apple |  apple, green |  apple |  apple |  apple"
[DRESSING] Balsamic Vinaigrette,"vinaigrette |  vinegar, balsamic |  salad dressing, oil and vinegar |  salad dressing, prepacked |  dressing"
[DRY GOOD ] Nutella Chocolate Spread,"nutella, nut cream |  chocolate confectionery, filled with nuts and/or praline |  chocolate spread with hazelnuts |  chocolate confectionery, filled with wafer |  dark chocolate bar, with dried fruits (nuts, almonds, raisin, praline)"
"SIGNATURE TORTILLA PLAIN 12""","tortilla, wheat |  tortilla bread, wheat |  tortilla chips, cheese |  corn tortilla wrap, to be filled |  spanish-style tortilla with onions (omelette with potatoes and onions)"
Brown Calrose Rice,rice |  rice |  rice |  rice |  rice
"Peanut, Crushed","peanut, crushed |  peanut |  peanut |  peanut, grilled |  peanut paste"
S & W BLACK BEANS,"black beans |  bean |  black beans, brined |  pepper, black |  black pepper"
[DRESSING] Lime Jalapeno Vinaigrette,"vinaigrette |  jalapeno peppers, pickled |  lime, pulp, raw |  lime juice |  lime"
Bagasse Bowl PET Lid (1000ml),"PET plastic lid, large |  PET plastic bowl, large |  PET bowl |  Bagasse bowl, large |  water, 1l pet bottle"
Bagasse Bowls 1000ml,"Bagasse bowl, large |  PET plastic bowl, large |  PET bowl"
Flax Seed,flax seed |  flax seeds |  flax for fibre |  flax for fibre |  flax for fibre
Rolled Oats,"rolled oats |  oat |  rolled oats consumer package |  oat meal |  oat, raw"
MANGO PUREE (BLUE CAP) 1BOTX1L,mango puree |  mango |  mango |  mango |  mango
Raspberry Puree,"raspberry puree |  raspberry, raw |  raspberry, raw |  raspberry |  raspberry"
STRAWBERRY PUREE 1BOT X 1L,"strawberry puree |  strawberry, raw |  strawberry, raw |  strawberry |  strawberry"
Soy Barista Original,"soy cream |  soy yogurt |  soy milk |  soy drink, plain |  soy drink, 1l"
TYRRELLS (40G) - MATURE CHEDDAR & CHIVES POTATO CHIPS,"potato chips |  potato crisps, potato chips |  potato crisps |  potato crisps |  potato crisps"
TYRRELLS (40G) - SEA SALT & CRACKED BLACK PEPPER POTATO CHIPS,"potato chips |  potato crisps, potato chips |  salty snacks, made from potato |  potato crisps, coarse |  potato crisps"
SAPORITO EXTRA VIRGIN OLIVE OIL,"extra virgin olive oil |  olive oil, extra virgin |  olive oil |  olive oil |  olive oil"
Farmer Union Greek Yogurt,"greek yogurt |  ""yogurt, greek-style, ewes milk"", yogurt, greek-style, plain |  yogurt |  soy yogurt"
[SMOOTHIE] BerryLicious,"smoothie |  smoothie, strawberry blueberry"
Frozen Whole Strawberry,"strawberries, frozen |  strawberry |  strawberry |  strawberry |  strawberry"
YOWE HONEY,honey |  honey |  honey |  honey |  honey
Thermal Receipt Paper Roll: 80-76-12mm,Thermal receipt paper |  net thermal paper |  Thermal Bag |  Fellowes AutoMax 150C Hands Free Paper Shredder |  all about body sensitive roll on 50 ml
[Kitchen Use: Red Cloth] WYPALL *X80 RED WIPER,"Wypall *X Wiper |  tesco recycled kitchen towel |  tesco kitchen towel |  Kitchen roll, 1-ply virgin pulp |  surmullet or red mullet, raw"
(SS) Baked Almonds -30g,sugar-coated almond |  almond |  almond |  almond |  almond
Yowe Black Pepper Coarse/Crushed,"black pepper, ground |  black pepper, ground |  black pepper, powder |  grey pepper, powder |  black pepper"
Dried Apricot Size #2 (Yellow Colour),"apricot, dried |  apricots, dried |  dried apricots |  dried apricots |  apricot, pitted, dried"
Dried Cranberries,"cranberries, dried |  cranberry |  cranberry |  cranberry |  cranberry"
Blueberry Puree,blueberry puree |  blueberry |  blueberry |  blueberry |  blueberry
Yowell Bleach,Bleach
Yowell Dish Washing Liquid,Dish washing liquid |  washing up liquid original 500 ml |  washing up liquid lemon 500 ml |  laundry liquid - 1.5 l |  std washing up liquid lemon 500 ml
Sapporito Oregano Shredded,"oregano, dried"
RASPBERRY,raspberry |  raspberry |  raspberry |  raspberry |  raspberry
USA STRAWBERRY 454G*8PKT,strawberry |  strawberry |  strawberry |  strawberry |  strawberry
[ FRESH ] Butterhead Lettuce,"lettuce, fresh |  lettuce, fresh |  lettuce |  lettuce |  lettuce, romaine"
YOWE TABLE FINE SALT,"table salt, fine |  Table salt, fine |  salt, table |  table salt"
ONION RED PEELED (NP),"onion, peeled |  red onion |  onion, dried |  onion, raw |  onion, raw"
Toasted White Sesame Seeds,"white sesame seeds, toasted |  sesame seed |  sesame seed |  sesame seed, grilled, husked |  sesame seeds, decorticated"
[DRESSING] Mustard Cider Vinaigrette,"mustard sauce prepacked |  flavoured cider |  mustard, yellow, ready made |  mustard |  mustard"
Herb Basil Thai,"basil, fresh |  basil, fresh |  basil, dried |  basil, dried |  tomato & basil"
[Fresh ]Thai Asparagus,asparagus |  asparagus |  asparagus |  asparagus |  asparagus
"SIGNATURE TORTILLA PLAIN 10""","tortilla, wheat |  tortilla bread, wheat |  tortilla chips, cheese |  corn tortilla wrap, to be filled |  spanish-style tortilla with onions (omelette with potatoes and onions)"
BamNut Milk (unsweetened),"bamnut milk - airy |  bamnut milk - barista |  blueberry, frozen, unsweetened |  fermented milk drink, plain, whole milk |  goat milk, half skimmed, uht pasteurized"
KALE,"kale, fresh |  kale, raw |  kale, hydroponic |  curly kale, raw |  kale, in glass jar"
Cage Free Eggs,"egg |  egg, raw |  goose egg, raw |  egg white, raw |  duck egg, raw"
Honey,honey |  honey |  honey |  honey |  honey
"7"" BIOCORN SPOON (50*40)","Spoon, cornstarch, biodegradable"
Bagasse bowl LIDS,"Bagasse bowl, large |  PET plastic bowl, large |  PET plastic lid, large |  PET bowl"
Bagasse Bowls 32oz,"Bagasse bowl, large |  PET plastic bowl, large |  PET bowl"
Saporito Jalapeno Slice 12oz,"jalapeno peppers, pickled"
Mandarin Orange,"orange |  orange |  mandarin oranges, canned |  mandarin |  orange, raw"
"7"" BIOCORN FORK (50*40)","Fork, cornstarch, biodegradable"
[DRY GOODS] Organic Toasted Coconut Flakes,"coconut, kernel, dried |  coconut |  coconut |  coconut |  coconut"
[COOKED ITEM] New Falafel,"falafel, fried |  chipolata sausage, cooked |  falafel |  falafel, frost"
Butterhead Lettuce,"lettuce |  lettuce |  lettuce, fresh |  lettuce, fresh |  lettuce, romaine"
[TA Fork] 170MM CORNSTARCH FORK DLF02 2000PCS(50X40S),"Fork, cornstarch, biodegradable |  Spoon, cornstarch, biodegradable"
SERENE FRESH (Floor Cleaner),Floor cleaner |  Multipurpose cleaner
SUPER LEM (Multipurpose Cleaner),Multipurpose cleaner |  Floor cleaner
BLUEBERRY,blueberry |  blueberry |  blueberry |  blueberry |  blueberry
JUST PICKED COCOWATER - NATURAL - 1000ML X 6 Packet,just picked cocowater natural
JUST PICKED COCOWATER - NATURAL - 330ML X 12 Packet,just picked cocowater natural
EVIAN 24X400ML PET,"PET plastic lid, large |  water, 1l pet bottle |  water, 1l pet bottle |  carbonated soft drink, pet bottle 50 cl |  carbonated soft drink, pet bottle 50 cl"
Feta Cheese,"feta cheese |  feta cheese |  feta cheese |  cheese, feta |  ""feta cheese, from ewes milk"""
[SMOOTHIE] Vitamix,"smoothie |  smoothie, strawberry blueberry"
CUCUMBER LOCAL,cucumber |  cucumber |  cucumber |  cucumber |  cucumber
AUST STRAWBERRY,strawberry |  strawberry |  strawberry |  strawberry |  strawberry
CARROT,"carrot |  carrot |  carrot, cooked |  carrot, raw |  carrot, raw"
SAPORITO BALSAMICO VINEGAR,"vinegar, balsamic |  vinegar |  vinegar |  salad dressing, oil and vinegar |  vinegar, cider"
Tumeric Powder ' Superior',"turmeric, powder"
Cashew Nut Butter,"cashew nut |  cashew nuts, dry roasted | roasted cashew, natural"
Artline stamp pads refill ink 50ml blue,Stamp Pad
PaperOne 80gsm A4,A4 Paper
[Catering: Plastic Bag] (XL) CLEAR CARRIER (10),LDPE plastic bag |  HDPE plastic bag |  Reusable Bag
Instant Oats,"oat |  oat meal |  oat, raw |  oat bran"
ONION LARGE PEELED (NP),"onion, peeled |  red onion"
"Cling Wrap Small: CF126 12"" x 300m",cling wrap |  PE plastic cling film
Country Style Pumpkin Soup,"pumpkin soup |  soup, pumpkin, prepacked, to be reheated |  pumpkin, cooked |  soup, pumpkin, dehydrated and reconstituted"
Creamy Tomato Soup,"tomato soup |  soup, tomato, ready to eat |  soup, tomatoes, prepacked, to be reheated"
"[TA Spoon] 7"" BIOCORN SPOON (100*20) DLS-04 - CARTON","Spoon, cornstarch, biodegradable"
GFP Organic White Quinoa (bolivia),"white quinoa, organic |  quinoa |  quinoa |  quinoa"
"[Yogurt Cup] 9OZ PLASTIC CLEAR PET CUP 1,000 PCS/CS(LID : FL92)","PET plastic bowl, large |  yoghurt, natural, plastic cup, paper coated |  yoghurt (organic), natural, plastic cup, paper coated"
Mini Burger Bun,burger buns
Oat Milk,"oat milk cream |  milk substitute, oat drink |  oat milk organic (original) |  oat milk + calcium |  oat"
Honeydew,"melon, honeydew, raw |  melon, honeydew, pulp, raw"
KIWI,kiwi fruit |  kiwi fruit |  kiwi fruit |  kiwi fruit |  kiwi fruit
RED APPLE,apple |  apple |  apple |  apple |  apple
F/Squeezed Lime Juice,"lime juice |  lime | lime, raw"
"[Kitchen Use] Cling Wrap Large: CF128 18"" x 300m",cling wrap | PE plastic cling film
SANI FREE (Hand sanitiser),Hand sanitiser
Scotch tape dispenser,Tape Dispenser
SEA SALT FLAKE - MALDON SEA SALT,"sea salt, grey, no enrichment | salt, table"
Black Pepper POWDER,"black pepper, powder |  black pepper |  black pepper |  black pepper |  black pepper"
HAMI MELON,"melon |  melon (g) |  melon, honeydew, raw |  cantaloupe (melon), whole fruit |  cantaloupe (melon), whole fruit"
Frozen Avocado Slices,"avocado, raw |  avocado |  avocado |  avocado |  avocado"
"KALE, CURLY","curly kale, raw |  curly kale, cooked |  kale, fresh |  kale, in glass jar |  kale, hydroponic"
Spinach  (per kg),spinach |  spinach |  spinach |  spinach |  spinach
Cashew with Honey Sesame,cashew nut |  sesame seed |  sesame seed |  honey |  honey
MANGO,mango |  mango |  mango |  mango |  mango
FRENCH BEAN,"french beans |  french bean, cooked |  french bean, raw |  french bean, puree |  french bean, frozen, cooked"
Organic Toasted Coconut Flakes,coconut |  coconut |  coconut |  coconut |  coconut
"BLACK GARBAGE BAGS 36""X48""",Trash Bag |  Reusable Bag |  HDPE plastic bag |  LDPE plastic bag |  Recycle Bag
"Good Morning Towels, Good Quality",Towel
BLACK PEPPER WHOLE,black pepper |  black pepper |  black pepper |  black pepper |  black pepper
"A1 TRANSPARENT PLASTIC BAGS - 7""X10""",HDPE plastic bag |  Reusable Bag |  LDPE plastic bag | Trash Bag
Nutella Chocolate Spread,"nutella, nut cream |  nutella |  chocolate confectionery, filled with nuts and/or praline |  chocolate spread with hazelnuts"
"KALE, TOSCANO","kale, fresh |  kale, hydroponic |  kale, raw |  kale, in glass jar |  curly kale, raw"
Black Bean,"black beans |  black beans, brined"
La Costenta - Whole Black Beans,"black beans |  black beans, brined"
La Costena Black Beans,"black beans |  black beans, brined"
CAULIFLOWER,"cauliflower |  cauliflower |  cauliflower, cooked |  cauliflower, raw |  cauliflower, all varieties, raw"
Sapporito Parsley Shredded,"parsley, dried |  parsley root, raw |  parsley, raw |  parsley, fresh"
Frozen Whole Raspberry,"raspberry, frozen |  raspberry, frozen, raw |  raspberry |  raspberry |  raspberry"
[ NON FOOD ] INSTANT HAND SANITIZER GEL ( Nexa ),Hand sanitiser
Stabilo Liner 308 Red 0.7mm,Staedtler Triplus Fineliner 334 - Extra Fine - 0.3 Mm - Red - 1/BX
Forest Feast Salted Dark Chocolate Almonds,almond covered with chocolate |  almond |  almond |  almond |  almond
[HEY-RAW] Sous Vide Chicken,"chicken, meat, raw |  chicken, sous vide |  chicken, meat and skin, raw"
[Hey-Chill] Pumpkin Wedges,"pumpkin |  pumpkin |  pumpkin, raw |  pumpkin, raw |  pumpkin, cooked"
Mushroom King,"portobello mushroom |  mushroom, raw |  oyster mushroom |  mushroom burger |  mushroom, canned"
"[Kitchen Use: Plastic Bag 7' x 10'] THIN PACK 7"" x 10""","Reusable Bag |  Kitchen roll, 1-ply virgin pulp | HDPE plastic bag"
"BLACK GARBAGE BAGS - M 30""X34""",Trash Bag |  Reusable Bag |  HDPE plastic bag |  LDPE plastic bag |  Recycle Bag
CRANBERRY SAUCE WITH WHOLE BERRIES,cranberry |  cranberry |  cranberry |  cranberry |  cranberry
Multi Purpose Cleaner: ECO-CLEAN ELITE 257,Multipurpose cleaner |  Floor cleaner
King Oyster mushroom,"oyster mushroom |  portobello mushroom |  mushroom, raw"
[FROZEN] Sweet Potato Fries Regular Cut - Lambweston,"sweet potato, raw |  sweet potato, cooked"
Sapporito Sweet Paprika 120 Asta Powder,paprika
