ITEM,EMISSIONS_FACTOR
"lasagne, beef, ready meals",6.651
"lasagne, vegan, ready meals",2.670
"lasagne, vegetarian, ready meals",2.048
"laver (porphyra sp.), dried or dehydrated",3.706
lavosh,1.342
leafy or stem vegetables,0.532
leek,1.273
"leek pie with bacon, ready meals",0.248
leek tart or pie,2.284
"leek, cooked",1.577
"leek, frozen, raw",2.063
"leek, raw",0.920
leeks fondue or slow-simmered leeks,2.433
leguminous vegetables harvested green,2.165
lemon,0.754
"lemon and pineapple, blended",1.582
"lemon cake, all types",2.591
lemon juice,1.561
"lemon sole, breaded, fried",3.622
"lemon sole, raw",2.319
"lemon sole, steamed",1.522
lemon tart,3.385
"lemon zest, raw",1.062
"lemon, pulp, raw",0.437
"lemon, raw",1.159
lemonade with a flavoured syrup,1.839
"lemonade, with sugar",0.558
"lemonade, with sugar and artificial sweetener(s)",0.875
"lemonade, without sugar, with artificial sweetener(s)",1.794
lemons and limes,1.037
"lentil, blond, cooked",0.343
"lentil, blond, dried",0.990
"lentil, cooked",0.888
"lentil, dried",0.113
"lentil, green, dried",0.672
"lentil, pink or red, cooked",0.258
"lentil, pink or red, dried",1.075
"lentil, seasoned, canned, drained",0.205
lentils,0.625
lentils (dry),1.003
"lentils (organic), dried",3.723
"lentils, dried",0.261
"lentils, in can",1.525
"lentils, sprouted",2.125
"lentils, sprouted, raw",3.733
lettuce,1.185
"lettuce, fresh",1.072
"lettuce, looseleaf, raw",0.693
"lettuce, raw",0.940
"lettuce, romaine",1.335
"light custard cream with vanilla, prepacked",1.939
light syrup for canned fruits in syrup,3.303
"lima bean, raw",2.193
lime,1.351
lime juice,1.408
"lime, pulp, raw",1.470
"lime, raw",1.112
ling,3.738
"ling, cooked",6.422
"ling, raw",8.836
linseed,1.927
linseed oil,3.230
liqueur,1.476
"liqueur, coffee with cream",4.829
"liquid cream 30% fat, uht",3.696
"liquid cream, light, 15-20% fat, uht",4.401
"liquorice, salt",2.446
liver sausage,9.099
"liver, calf, cooked",14.993
"liver, chicken, cooked",2.922
"liver, chicken, raw",2.145
"liver, duck, raw",0.843
"liver, lamb, cooked",17.438
"liver, lamb, raw",14.314
"liver, pig, in cream sauce, frozen, ready meals",3.253
"liver, pork, cooked",1.754
"liver, pork, raw",3.394
"liver, poultry, raw",2.064
"liver, rabbit, raw",1.952
"liver, turkey, cooked",1.358
"liver, turkey, raw",1.197
"liver, young cow, cooked",16.540
"liver, young cow, raw",26.212
lobster,21.120
"lobster, canned",6.973
"lobster, raw",4.665
"lupin grain, raw",2.019
lupine flour,0.600
lupins,1.209
luscious cherry greek style yoghurt,1.441
"lychee, pulp, raw",1.515
macadamia nut,0.270
"macadamia nut, grilled, salted",2.614
macaron filled with jam or cream,5.108
macaroon,0.969
mackerel,0.551
mackerel (f),2.835
mackerel fish stick,1.683
mackerel mayonnaise salad,5.994
"mackerel, canned in brine, drained",2.324
"mackerel, fillet, in mustard sauce, canned, drained",3.114
"mackerel, fillet, in tomato sauce, canned, drained",2.074
"mackerel, fillet, in white wine, canned, drained",1.831
"mackerel, fresh, whole fish",2.469
"mackerel, fried",1.131
"mackerel, marinated",3.671
"mackerel, raw",1.527
"mackerel, roasted/baked",1.462
"mackerel, smoked",0.679
"madeira wine sauce, prepacked",2.791
madeleine biscuit (cookie),2.373
"madeleine biscuit, with chocolate, prepacked",9.254
"madeleine cake, pure butter",3.309
maize,1.957
maize flour,1.582
maize/corn bran,1.508
maize/corn flour,0.548
maize/corn oil,1.322
maize/corn starch,0.704
mandarin,0.240
"mandarin oranges, canned",1.954
"mandarin, pulp, raw",2.011
mango,1.068
"mango by plane, pulp, raw",2.606
mango chutney,1.527
mango juice (i),1.713
mango puree,0.720
"mango, pulp, raw",0.866
"mango, raw",1.543
"mango, whole fruit",1.177
marble cake,2.390
margarine,2.506
"margarine, 80% fat",2.960
marinated artichokes,3.047
marinated grilled peppers,2.290
"marmalade, orange",1.161
marsala wine,2.718
mascarpone,4.155
"mashed potato balls pre-fried, frozen, cooked",4.784
"mashed potato balls pre-fried, frozen, raw",2.130
mashed potatoes w fresh tome cheese,1.385
mayonnaise,1.905
mayonnaise (70% fat and more),1.105
"mayonnaise flavoured with garlic, chilli pepper and fish broth, prepacked",0.763
"mayonnaise, low fat",0.347
"mayonnaise, reduced fat or light mayonnaise",1.301
"meal replacement low calorie, custard cream dessert-type",1.622
"meal replacement low calorie, in powder, reconstituted with skimmed milk",1.571
"meal replacement low calorie, in powder, reconstituted with skimmed milk, milkshake type",2.151
"meal replacement low calorie, ready-to-drink",1.955
"meat balls, beef, with tomato sauce",3.953
"meat balls, canned",1.120
"meat balls, frozen",6.411
meat in puff pastry,10.239
meatballs,0.861
"meatballs in curry with rice and curry sauce, ready meals",1.686
"mediterranean bass, raw, farmed",3.363
"mediterranean bass, raw, wild",10.271
"mediterranean mussel, raw",3.610
melon,2.282
melon (g),1.588
"melon, cantaloupe (ex cavaillon or charentais melon), pulp, raw",1.987
"melon, honeydew, pulp, raw",0.359
"melon, honeydew, raw",2.084
melonseed,1.047
"merguez sausage, beef, mutton and pork, raw",23.233
"merguez sausage, pork and beef, raw",28.838
"merguez sausage, pure beef, raw",5.061
"merguez sausage, raw",13.440
meringue,1.366
merlot 0.25l canned,1.260
"mesclun or salads, mix of baby leaves",1.291
microwave popcorn,1.606
"milk (organic), esl, whole milk, composite carton",0.557
milk 0.4% fat,0.988
milk 1.5% fat,0.655
milk 1.8% fat,2.270
milk 3% fat,1.246
milk 3.7% fat,2.721
milk chocolate,0.985
milk chocolate bar,15.650
"milk chocolate bar, filled with praline",7.135
"milk chocolate bar, with dried fruits (nuts, almonds, raisins, praline)",9.616
"milk chocolate bar, with puffed/popped cereals",3.579
"milk chocolate bar, without sugar, with sweeteners",11.436
"milk chocolate, filled",4.439
"milk jelly, flavoured, covered with caramel, refrigerated",0.926
"milk jelly, flavoured, reduced fat and sugar, refrigerated",2.957
"milk jelly, flavoured, refrigerated",0.611
"milk powder, skimmed 95% dm",4.834
"milk roll filled with chocolate drops, prepacked",1.485
"milk roll, from bakery",4.822
"milk roll, prepacked",3.441
"milk substitute, almond drink",1.878
"milk substitute, oat drink",1.023
"milk substitute, soya drink",0.715
"milk substitute, spelt drink",2.553
"milk, esl, low-fat, composite carton",2.699
"milk, esl, whole milk, composite carton",1.278
"milk, partly skimmed, 1.5 % fat",0.865
"milk, powder, semi-skimmed",16.714
"milk, powder, skimmed",15.471
"milk, powder, whole",4.904
"milk, processed",0.591
"milk, processed, 3.5% mf",2.498
"milk, semi-skimmed, pasteurised",2.147
"milk, semi-skimmed, reduced lactose",2.220
"milk, semi-skimmed, uht",1.289
"milk, semi-skimmed, vitamin fortified, uht",0.914
"milk, skimmed, 0.5 % fat",0.743
"milk, skimmed, pasteurised",2.424
"milk, skimmed, uht",1.658
"milk, skimmed, with chocolate (uht)",0.317
"milk, uht milk, low-fat, composite carton",1.419
"milk, uht milk, whole milk, composite carton",2.100
"milk, whole, 3.5 % fat",2.152
"milk, whole, pasteurised",0.642
"milk, whole, uht",0.421
"milkshake, from fast foods restaurant",1.770
"milky cereal breakfast bar, with chocolate or not, fortified with vitamins and minerals",5.099
millet,0.645
millet flour,1.674
"millet, cooked, unsalted",1.202
"millet, whole",1.092
milq,2.180
milq chocolate,1.365
"mimolette cheese, extra old, from cow's milk",4.118
"mimolette cheese, from cow's milk",4.054
"mimolette cheese, half-old, from cow's milk",5.172
"mimolette cheese, old, from cow's milk",5.091
"mimolette cheese, young, from cow's milk",0.678
mince,0.536
minced beef,12.818
minced beef (organic),5.549
"minced broad bean protein, frozen",1.824
minced chicken,2.138
minced lamb,14.780
"minced meat, spaghetti sauce type, average values, ready meals",3.773
"minced pea protein, frozen",2.164
"minced soya, frozen",1.926
"mineral sparkling water (arcens), bottled, averagely mineralized",1.943
"mineral sparkling water (ardesy), bottled, strongly mineralized",0.510
"mineral sparkling water (auvergne), bottled, strongly mineralized",1.511
"mineral sparkling water (aziac), bottled, lightly mineralized",2.488
"mineral sparkling water (badoit), bottled, averagely mineralized",0.526
"mineral sparkling water (chateauneuf), bottled, strongly mineralized",0.434
"mineral sparkling water (chateldon), bottled, strongly mineralized",0.981
"mineral sparkling water (cilaos), bottled, strongly mineralized",0.613
"mineral sparkling water (didier), bottled, strongly mineralized",0.494
"mineral sparkling water (hydroxydase), bottled, strongly mineralized",0.864
"mineral sparkling water (nessel), bottled, averagely mineralized",0.128
"mineral sparkling water (ogeu), bottled, lightly mineralized",0.334
"mineral sparkling water (orezza), bottled, averagely mineralized",2.021
"mineral sparkling water (parot), bottled, averagely mineralized",1.033
"mineral sparkling water (perrier), bottled, lightly mineralized",0.609
"mineral sparkling water (puits st georges), bottled, averagely mineralized",0.408
"mineral sparkling water (quâˆšÂ©zac), bottled, averagely mineralized",0.240
"mineral sparkling water (reine des basaltes), bottled, averagely mineralized",0.136
"mineral sparkling water (rozana), bottled, strongly mineralized",0.795
"mineral sparkling water (salvetat), bottled, averagely mineralized",0.866
"mineral sparkling water (san pellegrino), bottled, averagely mineralized",0.433
"mineral sparkling water (soultzmatt), bottled, averagely mineralized",2.294
"mineral sparkling water (st-alban), bottled, averagely mineralized",0.845
"mineral sparkling water (st-diâˆšÂ©ry), bottled, strongly mineralized",0.607
"mineral sparkling water (st-gâˆšÂ©ron), bottled, averagely mineralized",0.236
"mineral sparkling water (st-michel-de-mourcairol), bottled, averagely mineralized",0.307
"mineral sparkling water (st-yorre), bottled, strongly mineralized",0.969
"mineral sparkling water (ste-marguerite), bottled, averagely mineralized",1.975
"mineral sparkling water (vals), bottled, averagely mineralized",0.687
"mineral sparkling water (ventadour), bottled, lightly mineralized",1.233
"mineral sparkling water (vernet), bottled, lightly mineralized",0.481
"mineral sparkling water (verniâˆšÂ®re), bottled, averagely mineralized",0.861
"mineral sparkling water (vichy câˆšÂ©lestins), bottled, strongly mineralized",0.266
"mineral sparkling water (volvic active), bottled, lightly mineralized",0.313
"mineral still water (abatilles), bottled, lightly mineralized",1.000
"mineral still water (aix-les-bains), bottled, lightly mineralized",0.769
"mineral still water (amanda), bottled, strongly mineralized",0.355
"mineral still water (appollinaris), bottled, strongly mineralized",0.489
"mineral still water (avra), bottled, lightly mineralized",0.822
"mineral still water (beckerich), bottled, lightly mineralized",1.774
"mineral still water (biovive), bottled, lightly mineralized",0.981
"mineral still water (caramulo), bottled, very lightly mineralized",0.839
"mineral still water (celtic), bottled, very lightly mineralized",0.586
"mineral still water (chambon), bottled, lightly mineralized",2.358
"mineral still water (chantemerle), bottled, lightly mineralized",0.769
"mineral still water (chaudfontaine), bottled, lightly mineralized",0.984
"mineral still water (christinen brunnen), bottled, averagely mineralized",0.075
"mineral still water (clos de l'abbaye), bottled, averagely mineralized",0.864
"mineral still water (contrex), bottled, strongly mineralized",1.989
"mineral still water (courmayer), bottled, strongly mineralized",0.249
"mineral still water (dax), bottled, averagely mineralized",0.772
"mineral still water (didier), bottled, strongly mineralized",0.864
"mineral still water (evian), bottled, lightly mineralized",2.369
"mineral still water (highland spring), bottled, lightly mineralized",0.091
"mineral still water (hâˆšÂ©par), bottled, strongly mineralized",1.607
"mineral still water (la cairolle), bottled, strongly mineralized",3.026
"mineral still water (la franâˆšÃŸaise), bottled, strongly mineralized",2.994
"mineral still water (levissima), bottled, lightly mineralized",2.219
"mineral still water (luchon), bottled, lightly mineralized",0.508
"mineral still water (luso), bottled, very lightly mineralized",1.748
"mineral still water (montcalm), bottled, very lightly mineralized",0.376
"mineral still water (montclar), bottled, lightly mineralized",0.491
"mineral still water (nâˆšÂ©ro), bottled, lightly mineralized",2.633
"mineral still water (ogeu), bottled, lightly mineralized",0.980
"mineral still water (orâˆšÂ©e du bois), bottled, averagely mineralized",1.879
"mineral still water (penacova), bottled, very lightly mineralized",0.452
"mineral still water (plancoet), bottled, lightly mineralized",0.294
"mineral still water (prince noir), bottled, strongly mineralized",0.457
"mineral still water (propiac), bottled, strongly mineralized",1.541
"mineral still water (sail-les-bains), bottled, lightly mineralized",0.725
"mineral still water (spa-reine), bottled, averagely mineralized",2.963
"mineral still water (st-amand), bottled, averagely mineralized",0.941
"mineral still water (st-antonin), bottled, strongly mineralized",0.927
"mineral still water (talians), bottled, strongly mineralized",2.122
"mineral still water (thonon), bottled, lightly mineralized",1.466
"mineral still water (treignac), bottled, very lightly mineralized",0.322
"mineral still water (valvert), bottled, lightly mineralized",0.439
"mineral still water (vauban), bottled, averagely mineralized",1.185
"mineral still water (vittel), bottled, averagely mineralized",1.704
"mineral still water (volvic), bottled, lightly mineralized",0.165
"mineral still water (wattwiller), bottled, lightly mineralized",2.940
mineral water,1.006
"mineral water (mont-roucous, bottled, very lightly mineralized",1.466
"mineral water (san benedetto), bottled, lightly mineralized",2.344
"mineral water (san bernardo), bottled, very lightly mineralized",0.423
"mineral water, 0.7 l returnable glass bottle",0.769
mint,0.521
"mint, fresh",0.569
miso,1.581
"mix of chicory and coffee, instant, without sugar, ready-to-drink (reconstituted with standard semi-skimmed milk)",3.985
"mix of chicory and coffee, powder, instant",6.072
mix of salted grains/nuts and raisins,2.615
mix of unsalted grains/nuts and dried fruit,1.798
mix of unsalted grains/nuts and raisins,2.116
"mixed diced vegetables, frozen",0.600
mixed fish (f),3.265
"mixed fruits juice, orange based, multivitamin",0.960
"mixed fruits juice, pure juice",2.448
"mixed fruits juice, pure juice, multivitamin",0.199
"mixed fruits juice, reconstituted from a concentrate, multivitamin",0.849
mixed fruits nectar,1.550
"mixed fruits nectar, multivitamin",0.632
mixed grains,1.847
mixed meat on skewer,4.911
"mixed vegetables for couscous, cooked",2.941
"mixed vegetables for couscous, frozen, raw",0.855
"mixed vegetables for ratatouille, frozen",1.896
"mixed vegetables for soups, frozen, raw",0.161
"mixed vegetables, frozen, raw",0.935
molokhia powder (dried jute leaves),1.166
montbeliard sausage,3.582
montepulciano 2.25l bib,1.066
"moose meat, average",2.543
"morbier cheese, from cow's milk",7.802
"morello cherry, raw",2.466
"mortadella with pistachios, pure pork",8.782
morteaux sausage,6.565
"morteaux sausage, boiled/cooked in water",2.113
"mousse (chocolate, coffee, caramel or vanilla) topped with whipped cream, refrigerated",5.949
"mousse, chocolate, refrigerated",4.344
mozarella sticks,2.943
mozzarella,4.116
mozzarella (cow milk) 15-20% fat,5.765
"mozzarella cheese, from cow's milk",2.743
"muesli bar, chocolate",0.646
"muesli, crunchy, with fruits and/or dried fruits, grains (not fortified with vitamins and chemical elements)",0.970
"muesli, crunchy, with fruits or dried fruits, fortified with vitamins and chemical elements",1.910
"muesli, flakes (bircher-style)",2.216
"muesli, flakes (bircher-style), with fruits or dried fruits, without sugar",2.662
"muffin, with blueberry or chocolate",4.692
"mullet, raw",0.754
mung bean flour,1.511
"mung bean, cooked",2.212
"mung bean, sprouted or soy spouts, canned, drained",1.814
"mung bean, sprouted or soy spouts, raw",1.744
mushroom burger,1.879
"mushroom sauce, prepacked",1.006
mushroom soup,1.484
"mushroom, canned",0.318
"mushroom, raw",0.635
mushrooms,1.078
"mushrooms (agaricus), fresh",2.615
"mushrooms, fresh, bright or dark",2.391
"mushrooms, in can",2.903
"mussel, boiled/cooked in water",3.309
"mussel, canned, drained",1.905
"mussel, common, raw",3.383
"mussel, raw",2.051
mussels,2.917
"mussels, filled (fat, parsley and garlicâ€šÃ„Â¶)",2.765
"mussels, in a shallot and white wine broth",3.067
"mussels, in catalan-style sauce or marinade (tomatoes), canned, drained",2.361
"mussels, in water, canned",3.702
mustard,7.010
mustard sauce prepacked,1.093
"mustard, with grains",1.398
"mustard, yellow, ready made",2.939
mutton tagine,9.820
"mutton, leg, raw",28.311
"mutton, meat, raw",39.448
"mutton, shoulder, raw",36.824
naturli' nuggets 215 g,3.441
naturli' organic falafel 350 g,0.423
"nectarine, raw",0.507
neleman chardonnay organic,1.676
neleman monastrell cabernet sauvignon,2.546
neleman viognier chardonnay,1.094
neleman -chardonnay-sauvignon blanc,1.202
neleman -tempranillo,2.694
neleman 30 wishes tempranillo organic,1.849
neleman 50 reasons sauvignon blanc organic,1.863
neleman all day long tempranillo organic,1.162
neleman amistad macabeo chardonnay organic,1.197
neleman amistad tempranillo organic,1.464
neleman amistad tempranillo rosâˆšÂ© organic,1.249
neleman cabernet sauvignon bobal organic,0.597
"neleman cabernet sauvignon bobal organic 0,375l",1.617
neleman chardonnay muscat organic,1.324
"neleman chardonnay-muscat organic 0,375l",1.679
neleman derrick tempranillo organic,0.682
neleman diamond red,2.493
neleman garnacha organic,1.194
neleman hipocryte pinot grigio organic,2.437
neleman hipocryte primitivo organic,0.732
neleman hipocryte prosecco organic,1.990
neleman macabeo organic,2.142
neleman nucli blanco organic,0.897
neleman nucli rosado organic,0.388
neleman nucli tinto organic,0.908
"neleman one of 3 red garnacha,",3.499
"neleman one of 3 red garnacha, graciano, tempranillo",1.114
neleman project d macabeo chardonnay organic,1.129
neleman project d tempranillo organic,0.996
neleman project d tempranillo rosâˆšÂ© organic,3.225
neleman rabbit white,1.635
neleman ribera del duero crianza,0.849
neleman ribera del duero reserva,1.164
neleman signature crianza organic,1.073
neleman signature reserva organic,1.277
neleman signature verdil chardonnay organic,1.216
neleman tempranillo monastrell organic,2.610
"neleman tempranillo monastrell organic 0,375 l",3.348
neleman the flipside tempranillo organic,1.480
neleman verdejo organic,1.137
nero d'avola 2.25l bib,2.396
"neufchâˆšÂ¢tel cheese, from cow's milk",0.708
"new potato, raw",1.488
"new zealand spinach, cooked",0.488
noodles with shrimps sautâˆšÂ©ed/pan-fried,0.718
"noodles, eggs",1.574
"norway lobster, raw",5.685
"not instant coffee, without sugar, ready-to-drink",2.357
nougat,1.676
"nuoc mam sauce or fish sauce, prepacked",0.271
"nut paste with cacao, spreads",0.927
nutella,2.882
"nutella, nut cream",1.978
nutmeg,0.922
"nutmeg, mace and cardamoms",4.023
nutritional yeast,1.360
oat,1.125
oat bran,1.597
oat cream (dairy-free cream substitute),1.427
"oat drink, 3% fat",0.222
"oat drink, 3% fat, 1l",1.189
"oat flakes, boiled/cooked in water",1.616
"oat flakes, pre-cooked, raw",1.930
oat meal,2.080
oat milk + calcium,0.257
oat milk . barista,1.608
oat milk cream,0.462
oat milk organic (original),0.648
oat milk organic + cocoa,0.581
oat milk organic + vanilla,1.480
"oat, raw",1.016
"oat-based drink, plain",0.605
oatmeal flakes,0.599
"oatmilk, with added calcium",0.136
oats,0.993
"oats, rolled, not enriched",2.709
octopus,3.295
octopus (f),4.202
"octopus, raw",0.768
oil crops,1.082
oil palm,1.615
oil plants for essence,0.556
"oil, rape seed (no eruca acid)",0.125
okra,2.530
olive,2.094
olive oil,4.690
"olive oil, 0.75l glass bottle",2.521
"olive oil, extra virgin",1.919
olive tapenade,3.587
"olive, green, stuffed (anchovy, sweet peppers, etcâ€šÃ„Â¶)",0.504
olives,1.483
"olives, black, without stones, in brine",0.899
"olives, green, pickled, canned",3.140
olivolja clasico (zeta),1.290
ombar oat m'lk fruit & nut,2.378
ombar oat m'lk hazelnut,1.388
ombar oat m'lk salted caramel truffle,1.374
ombar oat m'lk smooth & creamy,0.565
"omelette, with cheese",3.462
"omelette, with herbs",3.606
"omelette, with mushrooms",2.644
onion tart,1.110
"onion, cooked",0.879
"onion, dried",3.359
"onion, frozen, raw",1.453
"onion, peeled",0.492
"onion, raw",3.159
onions,2.206
"onions, chopped and deepfried",4.018
"onions, chopped, frozen",1.733
"onions, spring, raw",0.289
"oolong tea, brewed, without sugar",1.416
orange,0.805
orange juice,0.325
"orange juice, canned",3.868
"orange juice, freshly squeezed, 1l",0.827
"orange juice, home-made",1.717
"orange, pulp, raw",1.992
"orange, raw",1.099
oranges,1.441
"oregano, dried",3.249
organic vegan block,1.681
"ossau-iraty cheese, from ewe's milk",2.415
osso buco,8.224
other agave fibres,0.597
other berries,2.642
other cereals,3.271
other citrus fruits,1.233
other fruits,1.055
other green beans,1.543
other pome fruits,0.480
other tropical fruits,3.811
other vegetables,1.435
oven baked sweet potato fries,2.000
ox muzzle in salad dressing sauce,17.043
oyster mushroom,1.473
"oyster, raw",1.734
"pacific oyster, raw",2.019
"palm heart, canned, drained",0.922
palm oil,3.156
"palm oil, refined",4.577
pancake puffs,1.188
"pancakes, ready meals",1.211
"pancetta, dried",11.737
panini bread,1.193
"panna cotta, refrigerated",2.630
papaya,0.543
"papaya, pulp, raw",0.385
paprika,0.010
parma dry-cured ham,1.376
"parmesan cheese, from cow's milk",2.957
"parmesan cheese, shaved",4.775
parmigiano reggiano,12.498
"parsley root, raw",2.226
"parsley, dried",2.580
"parsley, fresh",2.089
"parsley, raw",0.278
"parsnip, cooked",1.903
"parsnip, raw",0.861
"passion fruit, pulp and pips, raw",0.641
pasta (dry),0.617
pasta w. egg (dry),1.822
"pasta with cheese sauce (spaghetti, tagliatelleâ€šÃ„Â¶)",3.628
"pasta, dry",1.134
"pasta, raw",1.791
"pastilla, filled with chicken (pie)",0.989
pastry biscuit with meringue,0.994
pastry cream or custard,3.114
pastry cream puff,1.916
"pastry, short crust, baked",1.505
pea drink,1.297
peach,0.782
peach melba (with vanilla ice cream and raspberry sauce),2.208
"peach, canned in light syrup, drained",0.816
"peach, canned in light syrup, not drained",1.534
"peach, dried",1.248
"peach, fresh",2.347
"peach, in can",1.495
"peach, pulp and peel, raw",0.105
"peach, raw",0.597
peaches and nectarines,1.816
peanut,1.031
peanut butter,1.349
peanut butter or peanut paste,1.666
"peanut butter, glass jar",3.829
"peanut butter, smooth",3.111
peanut oil,2.035
peanut paste,3.106
"peanut, crushed",1.982
"peanut, grilled",0.224
"peanut, grilled, salted",4.472
peanuts,0.757
"peanuts, oilroasted and salted",2.329
"peanuts, roasted, salted",1.947
pear,2.458
pear juice,0.498
"pear, canned",0.470
"pear, canned in light syrup, not drained",0.175
"pear, peeled, raw",3.020
"pear, pulp and peel, raw",2.096
"pear, raw",1.299
"pearled barley, boiled/cooked in water, unsalted",0.991
"pearled barley, raw",1.152
"peas yellow, dry",1.800
"peas, chick/garbanzo, dry, raw",1.998
"peas, dried",3.321
"peas, fresh, green, in pods",1.662
"peas, frozen",3.666
"peas, green, canned",1.325
"peas, green, frozen",2.066
"peas, green, in can",2.952
"peas, green, in glass jar",1.084
"peas, green, raw",1.850
pecan nut,3.813
"pecan nut, salted",3.412
pecorino,13.364
pecorino 2.25l bib,1.459
peer tart with almonds,1.590
pepper,0.605
pepper (g),4.069
"pepper, black",4.193
"pepper, hot chili, canned",0.515
"pepper, hot chili, raw",0.892
"pepper, sweet, red, raw",1.467
peppermint,2.341
pepperoni,0.521
permanent crops,0.303
persimmon,1.392
"persimmon, pulp, raw",1.536
"peru sea scallop, without coral, raw",3.193
pesto,1.423
pesto without garlic,1.033
"petit-suisse like fresh cream cheese, plain, around 9% fat",2.926
"petit-suisse, fresh cream cheese type, plain, around 4% fat",2.942
"petit-suisse, fresh cream cheese type, plain, fat free",0.898
pickled cucumber,2.602
"picodon cheese, from goat's milk",5.866
pigeon peas,1.541
"pigeon, meat, roasted/baked",5.063
"pike, raw",8.797
"pilchard, in tomato sauce, canned, drained",5.212
pine nuts,3.837
pineapple,2.869
pineapple (i),1.286
pineapple juice (i),2.880
"pineapple, by air",4.990
"pineapple, by ship",1.031
"pineapple, canned",1.508
"pineapple, in can",3.058
"pineapple, in light syrup, canned, drained",2.914
"pineapple, in light syrup, canned, not drained",0.212
"pineapple, in pineapple juice and syrup, canned, drained",0.278
"pineapple, in pineapple juice and syrup, canned, not drained",0.928
"pineapple, pulp, raw",2.020
"pineapple, raw",0.897
pink lady apple greek style yoghurt,1.025
"pistachio nut, grilled",2.989
"pistachio nut, grilled, salted",5.821
pistachios,3.183
pita bread,1.179
"pizza base, cooked",0.909
"pizza base, raw",0.978
pizza dough,0.984
"pizza napolitana, frozen, ready meals",0.816
pizza pastry base,1.161
"pizza romana, frozen, ready meals",3.663
"pizza with broccoli, frozen, ready meals",2.655
"pizza with meat and seafood, tomato and cheese, ready meals",0.411
"pizza with meat, tomato and cheese, ready meals",3.231
pizza with raclette or tartiflette cheese and lardoons,2.839
"pizza with salami, tomato and cheese, ready meals",3.261
"pizza with seafood, tomato and cheese, ready meals",1.817
"pizza with tomato and cheese, ready meals",0.302
"pizza with tuna, frozen, ready meals",2.775
"pizza with vegetables, fruit, tomato and cheese, ready meals",2.276
"pizza, bolognese-style w meat",7.319
"pizza, cheese and mushrooms",0.708
"pizza, cheese and tomato or margherita pizza",2.736
"pizza, chicken",0.972
"pizza, chorizo or salami",1.406
"pizza, cured ham",2.365
"pizza, four cheeses",1.380
"pizza, goat cheese and lardoons",2.756
"pizza, ham and cheese",1.033
"pizza, ham cheese and mushrooms",2.391
"pizza, kebab",2.451
"pizza, lardoons onions and cheese",3.685
"pizza, onion anchovy and black olives",1.459
"pizza, salmon",3.388
"pizza, seafood",1.129
"pizza, tuna",1.662
"pizza, vegetables or pizza 4 seasons",0.836
pizzasauce,1.274
plaice,6.499
"plaice, fillet, breaded, dybfrost",4.986
"plain cake, average values",0.490
"plain cake, chocolate cake",2.569
plain crackers,0.528
"plant paste, pea protein and mushroom",1.397
"plant protein patty, baked and fried",4.394
plantain,2.125
"plantain banana, cooked",0.873
"plantain banana, raw",0.663
plum,0.447
plum and prune,2.454
"plum, raw",0.440
"polenta or maize semolina, cooked, unsalted",0.585
"polenta or maize/corn semolina, pre-cooked, dried",0.053
pollock,1.699
pollock (f),0.921
pollock stick (f),0.743
pome fruit,0.121
pomegranate,1.083
pomegranate (i),0.700
"pomegranate, pulp and pips, raw",0.585
pomelo,2.628
"pomelo, peeled",1.086
pomfret,2.936
"pop corn, oil and salt added, traditional",1.001
"pop-corn or air-popped maize, unsalted",0.265
"pop-corn or oil popped maize, salted",1.993
"pop-corn or popped maize, with caramel",0.788
pork (average),2.797
pork (organic),2.695
pork belly salt-cured,6.963
"pork belly, smoked, raw",4.334
pork bone free meat,5.069
"pork fat, raw",1.630
"pork filet mignon, cooked",1.248
"pork filet mignon, raw",11.078
pork ham,3.559
"pork ham, intended to be cooked or pork ham, intended to be roast/bake",5.974
"pork in curry sauce, frozen, ready meals",6.115
pork liver mousse,3.215
"pork liver mousse, superior quality",6.411
pork liver pâˆšÂ¢tâˆšÂ©,1.026
"pork liver pâˆšÂ¢tâˆšÂ©, superior quality",1.909
"pork loin, cooked",6.251
"pork loin, raw",4.885
"pork picnic, cushion meat",0.169
"pork sausage stew with cabbage, carrots and potatoes",2.873
"pork sausage, thâˆšÂºringer bratwurst",3.985
pork sausages,12.616
pork snout in salad dressing sauce,2.255
"pork tenderloin roast, cooked",13.996
"pork tenderloin, lean, raw",4.688
pork trotters salt-cured,2.821
pork with caramel sauce,7.454
"pork, american bacon (dry cured)",8.502
"pork, average",4.281
"pork, baby back ribs",9.781
"pork, back fat, rindless, raw",0.513
"pork, belly, flank removed, raw",5.270
"pork, belly, raw",8.928
"pork, british bacon (dry cured)",4.896
"pork, chop, grilled",2.666
"pork, chop, raw",3.705
"pork, collar with rind, raw",4.061
"pork, collar, defatted, raw",1.492
"pork, flank, spiced, cooked",2.149
"pork, fresh ham",1.540
"pork, fresh ham, shank portion",3.820
"pork, fresh side",4.185
"pork, frozen",3.976
"pork, ham escalope, cooked",11.508
"pork, ham escalope, raw",5.281
"pork, ham, boiled, sliced",1.925
"pork, jowl, rindless, raw",2.786
"pork, knuckle oh ham, without rind, fat and bone, raw",3.028
"pork, knuckle or shank, raw",5.456
"pork, liver paste, danish",3.276
"pork, loin chop, boneless",5.629
"pork, loin, lean, raw",5.097
"pork, loin, raw",4.125
"pork, loin, roasted/baked",5.635
"pork, mince, 15-20% fat, raw",2.868
"pork, mince, 5-10% fat, raw",3.557
"pork, minced and bound with flour and egg, boiled, frozen, ready meals",1.285
